#{"t_start": 1771863127.210567, "env_id": "None"}
r,l,t
116.14,360,392.542624
86.835,360,392.816015
110.99,360,393.099622
78.775,360,395.371995
62.715,360,395.703878
83.635,360,396.019531
48.415,360,396.337555
68.705,360,396.63211
165.815,360,398.797917
164.16,360,399.074231
59.94,360,399.350691
61.925,360,399.627321
42.705,360,399.905866
91.53,360,400.183038
58.245,360,402.339837
99.555,360,402.618039
84.45,360,402.899136
79.435,360,403.176067
112.43,360,403.452558
111.06,360,403.73061
65.95,360,406.028959
39.415,360,406.394798
87.495,360,406.694308
57.005,360,406.988207
86.385,360,407.283658
77.86,360,409.54588
75.565,360,409.840692
37.1,360,410.129877
72.615,360,410.422813
79.79,360,410.716967
99.75,360,411.009902
75.49,360,413.257541
69.935,360,413.561261
56.905,360,413.859292
68.765,360,414.155721
83.975,360,414.44849
112.21,360,414.742907
92.81,360,417.067396
67.135,360,417.351282
127.88,360,417.640397
112.105,360,417.922142
67.835,360,418.226815
68.075,360,420.721156
133.25,360,421.03789
96.6,360,421.339728
56.685,360,421.637848
72.965,360,421.938246
79.86,360,422.240526
